uf,estado,municipio,local_verificacao,data_ultima_verificacao,data_validade,ultimo_resultado,tipo_medidor,qt_faixas,velocidade_nominal,validade_atual,tipo_via,mes_ultima_verificacao,ano_ultima_verificacao
DF,DISTRITO FEDERAL,brasilia,via ao1/av. contorno aos 4/5 octogonal,2024-02-01,2025-01-31,APROVADO,FIXO,2,40,VÁLIDO,Via Urbana,2,2024
DF,DISTRITO FEDERAL,brasilia,via bernardo sayão sria qe 38/40 polo de moda guará ii,2024-06-20,2025-06-19,APROVADO,FIXO,2,40,VÁLIDO,Via Urbana,6,2024
DF,DISTRITO FEDERAL,brasilia,via central qi 11 guara 1   df cruz 377.,2024-02-06,2025-02-05,APROVADO,FIXO,3,60,VÁLIDO,Via Urbana,2,2024
DF,DISTRITO FEDERAL,brasilia,via contorno guara ii alt qe 32sent. horario   cruz 216,2024-07-23,2025-07-22,APROVADO,FIXO,3,60,VÁLIDO,Via Urbana,7,2024
DF,DISTRITO FEDERAL,brasilia,via contorno guara ii alt. qe 38   cruz 216,2024-07-23,2025-07-22,APROVADO,FIXO,3,60,VÁLIDO,Via Urbana,7,2024
DF,DISTRITO FEDERAL,brasilia,via contorno qe 34 conj a guará ii,2024-09-13,2025-09-12,APROVADO,FIXO,1,50,VÁLIDO,Via Urbana,9,2024
DF,DISTRITO FEDERAL,brasilia,via de acesso guara i/ii altura do metro sent. av. contorno   cruz 215,2023-12-05,2024-12-04,APROVADO,FIXO,2,60,VÁLIDO,Via Urbana,12,2023
DF,DISTRITO FEDERAL,brasilia,via de lig l2 ponte costa e silva a 70m do viad da l3,2024-02-06,NA,REPARADO,FIXO,1,60,REPARADO,Via Urbana,2,2024
DF,DISTRITO FEDERAL,brasilia,via de lig. tag.   samam. p. corr. tag.,2019-04-16,2020-04-15,APROVADO,FIXO,3,60,VENCIDO,Via Urbana,4,2019
DF,DISTRITO FEDERAL,brasilia,via de ligacao l4 sul com setor pol. sul sent. l4 sul/sps   cruz 391,2023-06-01,2024-05-31,APROVADO,FIXO,2,60,VÁLIDO,Via Urbana,6,2023
DF,DISTRITO FEDERAL,brasilia,via de ligacao l4 sul com setor pol. sul sent. l4 sul/stpol   cruz 391,2024-09-03,2025-09-02,APROVADO,FIXO,2,50,VÁLIDO,Via Urbana,9,2024
DF,DISTRITO FEDERAL,brasilia,via de ligacao s1/n1 alt. do ministerio de industria e comercio   cruz 138,2024-07-30,2025-07-29,APROVADO,FIXO,2,40,VÁLIDO,Via Urbana,7,2024
DF,DISTRITO FEDERAL,brasilia,"via de ligacao torto colorado km 0,6 sentido balao do torto",2024-03-08,2025-03-07,APROVADO,FIXO,1,70,VÁLIDO,Via Urbana,3,2024
DF,DISTRITO FEDERAL,brasilia,"via de ligacao torto colorado km 3,4 sentido balao do torto",2024-03-14,2025-03-13,APROVADO,FIXO,1,70,VÁLIDO,Via Urbana,3,2024
DF,DISTRITO FEDERAL,brasilia,via de ligacao w 3 e w 4 norte alt. qd 707 sent. autodromo   cruz 169 ¿ cód. fis159,2024-11-06,2025-11-05,APROVADO,FIXO,3,50,VÁLIDO,Via Urbana,11,2024
DF,DISTRITO FEDERAL,brasilia,via de ligacao w3 norte com epaa sent. autodromo/w5 norte   cruz 174,2024-09-02,2025-09-01,APROVADO,FIXO,3,50,VÁLIDO,Via Urbana,9,2024
DF,DISTRITO FEDERAL,brasilia,via de ligação df 001 (epct)/ df 075 (epnb),2022-09-26,2023-09-25,APROVADO,FIXO,3,60,VENCIDO,Rodovia Estadual,9,2022
DF,DISTRITO FEDERAL,brasilia,via de ligação epdb / ponte costa e silva,2024-09-06,2025-09-05,APROVADO,FIXO,2,50,VÁLIDO,Via Urbana,9,2024
DF,DISTRITO FEDERAL,brasilia,"via de ligação km 0,9 df 025 (epdb) / df   047 (epar) balão aeroporto",2022-10-11,2023-10-10,APROVADO,FIXO,3,60,VENCIDO,Rodovia Estadual,10,2022
DF,DISTRITO FEDERAL,brasilia,via de ligação l 2 / ponte costa e silva,2024-09-06,2025-09-05,APROVADO,FIXO,2,50,VÁLIDO,Via Urbana,9,2024
DF,DISTRITO FEDERAL,brasilia,via de ligação n1 com s1 alt memorial dos povos indigenas   cruz 005,2024-06-18,2025-06-17,APROVADO,FIXO,3,60,VÁLIDO,Via Urbana,6,2024
DF,DISTRITO FEDERAL,brasilia,via de ligação n1 com s1 altura do memorial dos povos indigenas semaf cruz 05,2020-01-28,2021-01-27,APROVADO,FIXO,3,60,VENCIDO,Via Urbana,1,2020
DF,DISTRITO FEDERAL,brasilia,via de ligação ponte das garças,2024-01-31,2025-01-30,APROVADO,FIXO,2,50,VÁLIDO,Via Urbana,1,2024
DF,DISTRITO FEDERAL,brasilia,via de ligação ponte das garças.,2024-01-31,2025-01-30,APROVADO,FIXO,2,50,VÁLIDO,Via Urbana,1,2024
DF,DISTRITO FEDERAL,brasilia,via de ligação s1/n1 em frente ao ministerio da ind e do com,2020-01-22,2021-01-21,APROVADO,FIXO,2,40,VENCIDO,Via Urbana,1,2020
DF,DISTRITO FEDERAL,brasilia,via de ligação samambaia recanto das emas fte a chacara 29,2019-01-04,2020-01-03,APROVADO,FIXO,1,60,VENCIDO,Via Urbana,1,2019
DF,DISTRITO FEDERAL,brasilia,via de ligação samambaia recanto das emas prox qn 106,2019-01-04,2020-01-03,APROVADO,FIXO,1,60,VENCIDO,Via Urbana,1,2019
DF,DISTRITO FEDERAL,brasilia,"via de ligação torto colorado km 1,8",2022-09-14,2023-09-13,APROVADO,FIXO,3,70,VENCIDO,Via Urbana,9,2022
DF,DISTRITO FEDERAL,brasilia,"via de ligação torto colorado km 1,8 sentido balão do torto   brasília df",2024-08-20,2025-08-19,APROVADO,FIXO,1,70,VÁLIDO,Via Urbana,8,2024
DF,DISTRITO FEDERAL,brasilia,via de ligação w3 e w4 norte alt qd 707,2019-12-02,2020-12-01,APROVADO,FIXO,3,50,VENCIDO,Via Urbana,12,2019
DF,DISTRITO FEDERAL,brasilia,via dom orione ql 15 prox entr das chac de 07 a 12 lago sul,2024-09-27,2025-09-26,APROVADO,FIXO,1,50,VÁLIDO,Via Urbana,9,2024
DF,DISTRITO FEDERAL,brasilia,via ernw alt. sine semaforo cruz148,2019-12-23,2020-12-22,APROVADO,FIXO,3,60,VENCIDO,Via Urbana,12,2019
DF,DISTRITO FEDERAL,brasilia,via ernw alt. sine sent norte/sul   cruz 148,2024-10-07,2025-10-06,APROVADO,FIXO,3,60,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,via hce 01 terraço shopping,2024-02-20,2025-02-19,APROVADO,FIXO,2,40,VÁLIDO,Via Urbana,2,2024
DF,DISTRITO FEDERAL,brasilia,via hce 1 terraço shopping,2024-02-20,2025-02-19,APROVADO,FIXO,2,40,VÁLIDO,Via Urbana,2,2024
DF,DISTRITO FEDERAL,brasilia,via hce frente aos 01 sudoeste/octogonal,2024-02-05,2025-02-04,APROVADO,FIXO,1,50,VÁLIDO,Via Urbana,2,2024
DF,DISTRITO FEDERAL,brasilia,via hce frente aos 2,2020-02-03,2021-02-02,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,2,2020
DF,DISTRITO FEDERAL,brasilia,via jk entrada da ponte jk,2024-10-10,2025-10-09,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,via jk enttrada da ponte jk,2020-02-10,2021-02-09,APROVADO,FIXO,3,60,VENCIDO,Via Urbana,2,2020
DF,DISTRITO FEDERAL,brasilia,via jk prox a ponte jk,2024-01-31,2025-01-30,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,1,2024
DF,DISTRITO FEDERAL,brasilia,via jk saida da ponte,2024-10-10,2025-10-09,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,via jk saida da ponte jk,2024-10-10,NA,REPARADO,FIXO,3,60,REPARADO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,"via jk, prox ponte jk",2024-09-06,2025-09-05,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,9,2024
DF,DISTRITO FEDERAL,brasilia,via l   03 norte altura da faculdade de educação/unb,2023-12-14,2024-12-13,APROVADO,FIXO,2,40,VÁLIDO,Via Urbana,12,2023
DF,DISTRITO FEDERAL,brasilia,via l   03 norte altura da faculdade de educação/unb.,2023-12-14,2024-12-13,APROVADO,FIXO,1,40,VÁLIDO,Via Urbana,12,2023
DF,DISTRITO FEDERAL,brasilia,"via l 03 norte, altura da sgan 606 prox casa thomas jeferson",2024-06-20,2025-06-19,APROVADO,FIXO,3,40,VÁLIDO,Via Urbana,6,2024
DF,DISTRITO FEDERAL,brasilia,via l2 norte alt. sqn 406 sent. norte/sul semaforo   cruz 203,2023-05-11,2024-05-10,APROVADO,FIXO,3,60,VÁLIDO,Via Urbana,5,2023
DF,DISTRITO FEDERAL,brasilia,via l2 norte alt. sqn 406 sent. sudoeste/cruzeiro semaforo   cruz 203,2024-04-08,2025-04-07,APROVADO,FIXO,3,60,VÁLIDO,Via Urbana,4,2024
DF,DISTRITO FEDERAL,brasilia,via l2 norte sgan 601 altura do serpro semaf cruz 199,2020-01-21,2021-01-20,APROVADO,FIXO,3,60,VENCIDO,Via Urbana,1,2020
DF,DISTRITO FEDERAL,brasilia,via l2 sul sas alt. qd. 06 sent. norte/sul   cruz 082,2024-05-03,2025-05-02,APROVADO,FIXO,3,60,VÁLIDO,Via Urbana,5,2024
DF,DISTRITO FEDERAL,brasilia,via l2 sul sgas 604 sent sul/norte   cruz 087,2024-05-10,2025-05-09,APROVADO,FIXO,3,60,VÁLIDO,Via Urbana,5,2024
DF,DISTRITO FEDERAL,brasilia,via l2 sul sgas 612 sent sul/norte   semaforo cruz 099,2024-03-19,2025-03-18,APROVADO,FIXO,3,60,VÁLIDO,Via Urbana,3,2024
DF,DISTRITO FEDERAL,brasilia,via l2 sul sqs 404 sent. norte/sul   cruz 086,2024-05-10,2025-05-09,APROVADO,FIXO,3,60,VÁLIDO,Via Urbana,5,2024
DF,DISTRITO FEDERAL,brasilia,via l2 sul sqs 412 sent. norte/sul   semaforo cruz 099,2024-03-19,2025-03-18,APROVADO,FIXO,3,60,VÁLIDO,Via Urbana,3,2024
DF,DISTRITO FEDERAL,brasilia,via leste industrial / av. itamaraca eq 3/5 ubs 3 gama,2024-02-02,2025-02-01,APROVADO,FIXO,2,40,VÁLIDO,Via Urbana,2,2024
DF,DISTRITO FEDERAL,brasilia,via leste industrial / av. itamaraca qi 07 lote 1240 gama,2024-02-02,2025-02-01,APROVADO,FIXO,2,40,VÁLIDO,Via Urbana,2,2024
DF,DISTRITO FEDERAL,brasilia,via leste industrial / av. itamaraca qi 07 lote 830 gama,2024-07-31,2025-07-30,APROVADO,FIXO,2,40,VÁLIDO,Via Urbana,7,2024
DF,DISTRITO FEDERAL,brasilia,via leste industrial / av. itamaraca qi 07 lote 830. gama   brasília   df,2023-01-18,2024-01-17,APROVADO,FIXO,2,40,VENCIDO,Via Urbana,1,2023
DF,DISTRITO FEDERAL,brasilia,via leste industrial eq. 7 / 9 gama,2024-02-02,2025-02-01,APROVADO,FIXO,2,40,VÁLIDO,Via Urbana,2,2024
DF,DISTRITO FEDERAL,brasilia,via leste industrial eq. 7.9 gama,2023-01-18,2024-01-17,APROVADO,FIXO,2,40,VENCIDO,Via Urbana,1,2023
DF,DISTRITO FEDERAL,brasilia,via lig l2 ponte honestino guimarães a 70m do viad. l3,2019-11-28,2020-11-27,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,11,2019
DF,DISTRITO FEDERAL,brasilia,via ligação l4 sul com st pol sul semaforo cruz 391,2019-04-03,2020-04-02,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,4,2019
DF,DISTRITO FEDERAL,brasilia,via ligação tag/samam p corr. tag,2019-08-12,2020-08-11,APROVADO,FIXO,3,60,VENCIDO,Via Urbana,8,2019
DF,DISTRITO FEDERAL,brasilia,via ligação w3 norte com epaa semaforo cruz 174,2020-01-29,2021-01-28,APROVADO,FIXO,3,60,VENCIDO,Via Urbana,1,2020
DF,DISTRITO FEDERAL,brasilia,via lj 01 alt feira permanente semaforo cruz 320,2020-03-05,2021-03-04,APROVADO,FIXO,1,50,VENCIDO,Via Urbana,3,2020
DF,DISTRITO FEDERAL,brasilia,via lj 01 feira permanente tag sent. elmo serejo/helio prates   cruz 320,2024-09-20,2025-09-19,APROVADO,FIXO,1,50,VÁLIDO,Via Urbana,9,2024
DF,DISTRITO FEDERAL,brasilia,via lj 01 qnl 1 prox. centro educacional 06 taguatinga,2024-01-19,2025-01-18,APROVADO,FIXO,1,40,VÁLIDO,Via Urbana,1,2024
DF,DISTRITO FEDERAL,brasilia,via lj 01 qnl 2 bl. a taguatinga,2024-01-19,2025-01-18,APROVADO,FIXO,2,40,VÁLIDO,Via Urbana,1,2024
DF,DISTRITO FEDERAL,brasilia,via lj 02 altura qnl 23 bl. a taguatinga,2023-01-11,2024-01-10,APROVADO,FIXO,3,40,VENCIDO,Via Urbana,1,2023
DF,DISTRITO FEDERAL,brasilia,via lj 02 qnj 58 bl. e taguatinga,2024-08-02,NA,REPARADO,FIXO,2,40,REPARADO,Via Urbana,8,2024
DF,DISTRITO FEDERAL,brasilia,via lj 02 qnl 23 bl. a taguatinga,2024-11-13,2025-11-12,APROVADO,FIXO,1,40,VÁLIDO,Via Urbana,11,2024
DF,DISTRITO FEDERAL,brasilia,via lj 2 alt. da qnj 48 taguatinga sent. sul/norte   cruz 353,2023-10-18,2024-10-17,APROVADO,FIXO,2,50,VENCIDO,Via Urbana,10,2023
DF,DISTRITO FEDERAL,brasilia,via lj 1 qnl 07 bl. b taguatinga,2024-01-30,2025-01-29,APROVADO,FIXO,1,50,VÁLIDO,Via Urbana,1,2024
DF,DISTRITO FEDERAL,brasilia,via lj 1 qnl 07 bl. b taguatinga.,2024-11-18,2025-11-17,APROVADO,FIXO,1,50,VÁLIDO,Via Urbana,11,2024
DF,DISTRITO FEDERAL,brasilia,via lj 1 qnl 08 bl. b taguatinga,2024-01-30,2025-01-29,APROVADO,FIXO,1,50,VÁLIDO,Via Urbana,1,2024
DF,DISTRITO FEDERAL,brasilia,via lj 1 qnl 08 bl. b taguatinga sent sul/norte,2024-01-30,2025-01-29,APROVADO,FIXO,1,50,VÁLIDO,Via Urbana,1,2024
DF,DISTRITO FEDERAL,brasilia,via lj 1 qnl 08 bl. b taguatinga sent. sul/norte.,2024-11-18,2025-11-17,APROVADO,FIXO,1,50,VÁLIDO,Via Urbana,11,2024
DF,DISTRITO FEDERAL,brasilia,via lj 1 qnl 08 bl. b taguatinga.,2024-11-18,2025-11-17,APROVADO,FIXO,1,50,VÁLIDO,Via Urbana,11,2024
DF,DISTRITO FEDERAL,brasilia,via lj2 altura qnj 48 cruz 353,2020-02-12,2021-02-11,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,2,2020
DF,DISTRITO FEDERAL,brasilia,via lj2 qnl 01 taguatinga,2024-10-01,2025-09-30,APROVADO,FIXO,2,40,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,via lj2 qnl. 11 bloco. a taguatinga,2024-10-01,2025-09-30,APROVADO,FIXO,1,40,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,via lw1 brazlandia prox ch 1a sul setor sul,2024-03-18,2025-03-17,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,3,2024
DF,DISTRITO FEDERAL,brasilia,via lw1 brazlandia prox. ch. 1 a sul setor tradicional,2019-06-03,2020-06-02,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,6,2019
DF,DISTRITO FEDERAL,brasilia,via m 01 qnm 13   em frente a administração regional ceilândia,2023-01-11,2024-01-10,APROVADO,FIXO,2,50,VENCIDO,Via Urbana,1,2023
DF,DISTRITO FEDERAL,brasilia,via m 01 qnm 13 conj. p ceilândia,2023-01-11,2024-01-10,APROVADO,FIXO,2,50,VENCIDO,Via Urbana,1,2023
DF,DISTRITO FEDERAL,brasilia,via m 01 qnm 14 area especial prox ce02,2023-01-09,2024-01-08,APROVADO,FIXO,2,50,VENCIDO,Rodovia Estadual,1,2023
DF,DISTRITO FEDERAL,brasilia,via m 01 qnm 14 area especial prox ce02   ceilandia,2023-12-07,2024-12-06,APROVADO,FIXO,2,50,VÁLIDO,Rodovia Estadual,12,2023
DF,DISTRITO FEDERAL,brasilia,via m 01 qnm 14 area especial prox centro de ensino 02   ceilandia,2024-10-10,2025-10-09,APROVADO,FIXO,2,50,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,via m 02 qnm 13 área especial  prox. ao centro de ensino 03 ceilândia,2023-01-11,2024-01-10,APROVADO,FIXO,2,50,VENCIDO,Via Urbana,1,2023
DF,DISTRITO FEDERAL,brasilia,"via m 02 qnm 16 ae f, frente ao centro saúde 05 ceilandia",2023-01-09,2024-01-08,APROVADO,FIXO,2,50,VENCIDO,Via Urbana,1,2023
DF,DISTRITO FEDERAL,brasilia,via m 02 qnm 24 conj a lote 29 ceilandia,2024-01-19,2025-01-18,APROVADO,FIXO,2,50,VÁLIDO,Via Urbana,1,2024
DF,DISTRITO FEDERAL,brasilia,via m 04 qnm 34 conj k   taguatinga,2024-10-15,2025-10-14,APROVADO,FIXO,2,40,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,via m 04 qnm 36 conj k taguatinga,2024-10-15,2025-10-14,APROVADO,FIXO,2,40,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,via m 4 alt. qnm 34 taguatinga sent. norte/sul   cruz 353,2023-10-18,2024-10-17,APROVADO,FIXO,2,50,VENCIDO,Via Urbana,10,2023
DF,DISTRITO FEDERAL,brasilia,via m1 ceil qnm 04 conj o frente lt 14,2019-08-07,2020-08-06,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,8,2019
DF,DISTRITO FEDERAL,brasilia,via m1 ceil. qnm 04 conj. o frente lote 14,2019-05-06,2020-05-05,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,5,2019
DF,DISTRITO FEDERAL,brasilia,via m1 ceilandia alt da qnm 12,2024-09-12,2025-09-11,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,9,2024
DF,DISTRITO FEDERAL,brasilia,via m1 ceilandia qnm 04 conj o frente lt 14,2024-09-12,2025-09-11,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,9,2024
DF,DISTRITO FEDERAL,brasilia,via m1 qnm 06 conj p,2023-01-09,2024-01-08,APROVADO,FIXO,2,50,VENCIDO,Via Urbana,1,2023
DF,DISTRITO FEDERAL,brasilia,via m1 qnm 06 conj p   ceilandia,2024-09-09,2025-09-08,APROVADO,FIXO,2,50,VÁLIDO,Via Urbana,9,2024
DF,DISTRITO FEDERAL,brasilia,via m1 qnm 07 conj o ceil sul prox centro de saude n 03,2024-10-11,2025-10-10,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,via m1 qnm 07 conj o ceilandia prox centro de saude n03,2024-01-30,2025-01-29,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,1,2024
DF,DISTRITO FEDERAL,brasilia,via m1 qnm 07 conjunto o ceilandia sul prox. centro de saude nº3,2019-09-18,2020-09-17,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,9,2019
DF,DISTRITO FEDERAL,brasilia,via m1 qnm 07 conjunto o ceilandia sul proximo centro de saude nº3,2020-06-03,2021-06-02,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,6,2020
DF,DISTRITO FEDERAL,brasilia,via m2 alt. cnm 02 sent. norte/sul   cruz 289,2023-10-18,2024-10-17,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,10,2023
DF,DISTRITO FEDERAL,brasilia,via m2 alt. qnm 17 sentido sul/norte   cruz 289,2023-10-18,2024-10-17,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,10,2023
DF,DISTRITO FEDERAL,brasilia,via m2 altura da cnm 02 cruz 289,2020-02-12,2021-02-11,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,2,2020
DF,DISTRITO FEDERAL,brasilia,via m2 altura qnm 17 cruz 289,2019-03-19,2020-03-18,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,3,2019
DF,DISTRITO FEDERAL,brasilia,via m2 ceil qnm 22 conj a frente lt 13 ceilandia,2024-11-06,2025-11-05,APROVADO,FIXO,2,60,VÁLIDO,Via Urbana,11,2024
DF,DISTRITO FEDERAL,brasilia,via m2 ceil qnm 22 conj a frnte lt 13 ceilandia,2024-11-06,2025-11-05,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,11,2024
DF,DISTRITO FEDERAL,brasilia,via m2 ceil. qnm 22 conjunto a frente ao lote 13 ceilandia,2019-11-11,2020-11-10,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,11,2019
DF,DISTRITO FEDERAL,brasilia,via m2 qnm 12 prox lote 38 ceilandia norte,2024-11-06,2025-11-05,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,11,2024
DF,DISTRITO FEDERAL,brasilia,via m2 qnm 12 proximo lote 38 ceilandia norte,2019-09-16,2020-09-15,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,9,2019
DF,DISTRITO FEDERAL,brasilia,via m2 qnm 13 área especial prox. centro de ensino 03 ceilândia,2024-08-02,2025-08-01,APROVADO,FIXO,2,50,VÁLIDO,Via Urbana,8,2024
DF,DISTRITO FEDERAL,brasilia,via m2 qnm 16 area especial f prox. ao centro de saúde 05 ceilandia,2024-11-04,2025-11-03,APROVADO,FIXO,2,50,VÁLIDO,Via Urbana,11,2024
DF,DISTRITO FEDERAL,brasilia,via m2 qnm 20 prox conj a ceilandia norte,2024-11-06,2025-11-05,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,11,2024
DF,DISTRITO FEDERAL,brasilia,via m2 qnm 20 prox conjunto a ceilandia norte,2020-06-02,2021-06-01,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,6,2020
DF,DISTRITO FEDERAL,brasilia,via m2 qnm 20 prox. conj. a ceilandia norte.,2024-11-06,2025-11-05,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,11,2024
DF,DISTRITO FEDERAL,brasilia,via m2 qnm 21 conj. a lote 3 celândia,2024-11-04,2025-11-03,APROVADO,FIXO,2,50,VÁLIDO,Via Urbana,11,2024
DF,DISTRITO FEDERAL,brasilia,via m3 ceil qnm 29 prox apaed,2024-09-04,2025-09-03,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,9,2024
DF,DISTRITO FEDERAL,brasilia,via m3 ceilandia qnm 29,2020-02-20,2021-02-19,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,2,2020
DF,DISTRITO FEDERAL,brasilia,via m3 m norte ceil qnm 40 prox conj f2 ceilandia,2024-10-18,2025-10-17,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,via m3 m norte ceilandia qnm 40 proximo conjunto f2,2019-09-05,2020-09-04,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,9,2019
DF,DISTRITO FEDERAL,brasilia,via m3 norte qnm 20 prox ao conj o ceilandia,2024-10-03,2025-10-02,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,via m3 norte qnm 20 prox ao conjunto o,2020-01-30,2021-01-29,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,1,2020
DF,DISTRITO FEDERAL,brasilia,via m3 norte qnm 28 mod a proximo a assembleia de deus setor o,2019-10-03,2020-10-02,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,10,2019
DF,DISTRITO FEDERAL,brasilia,via m3 norte qnm 28 modulo a prox assembleia de deus ceilandia,2024-10-03,2025-10-02,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,via m3 qnm 19 conj p prox ao sesi ceilandia sul,2019-08-19,2020-08-18,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,8,2019
DF,DISTRITO FEDERAL,brasilia,via m3 qnm 19 prox conj o ceilandia,2024-10-11,2025-10-10,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,via m3 qnm 19 prox. conj. o ceilândia sul,2019-08-27,2020-08-26,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,8,2019
DF,DISTRITO FEDERAL,brasilia,via m3 qnm 27 prox coord regional de ensino de ceilandia,2024-11-07,2025-11-06,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,11,2024
DF,DISTRITO FEDERAL,brasilia,"via m3 qnm 30 mod ""f"" ceilandia norte prox centro assist maria carmem",2019-05-15,2020-05-14,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,5,2019
DF,DISTRITO FEDERAL,brasilia,via m3 qnm 30 prox centro assist maria carmem ceilandia,2024-10-03,2025-10-02,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,via m3 sul qnm 19 prox ao conj p,2024-01-30,2025-01-29,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,1,2024
DF,DISTRITO FEDERAL,brasilia,via m3 sul qnm 21 proximo ao conjunto p,2019-06-11,2020-06-10,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,6,2019
DF,DISTRITO FEDERAL,brasilia,via m3 sul qnm 23 prox ao conj p,2024-11-07,2025-11-06,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,11,2024
DF,DISTRITO FEDERAL,brasilia,via m3 sul qnm 23 prox. conjunto p,2020-06-02,2021-06-01,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,6,2020
DF,DISTRITO FEDERAL,brasilia,via m3 sul qnm 25 proximo ao clube do flamengo,2024-04-22,2025-04-21,APROVADO,FIXO,1,60,VÁLIDO,Via Urbana,4,2024
DF,DISTRITO FEDERAL,brasilia,via m4 altura qnm 34 cruz 353,2020-01-15,2021-01-14,APROVADO,FIXO,2,60,VENCIDO,Via Urbana,1,2020
DF,DISTRITO FEDERAL,brasilia,via m4 qnm 38 conj g taguatinga,2024-11-13,2025-11-12,APROVADO,FIXO,2,40,VÁLIDO,Via Urbana,11,2024
DF,DISTRITO FEDERAL,brasilia,via m4 qnm 40 conj. e taguatinga,2024-11-13,2025-11-12,APROVADO,FIXO,2,40,VÁLIDO,Via Urbana,11,2024
DF,DISTRITO FEDERAL,brasilia,via mn 02 qnm 04 conj b   ceilandia,2024-10-01,2025-09-30,APROVADO,FIXO,2,50,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,"via mn 02 qnm 05 conj. a, lote 46 ceilândia",2024-10-01,2025-09-30,APROVADO,FIXO,2,50,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,via mn 02 qnn 08 conj. b ceilândia,2024-10-15,2025-10-14,APROVADO,FIXO,2,50,VÁLIDO,Via Urbana,10,2024
DF,DISTRITO FEDERAL,brasilia,via mn 1 av helio prates qnn 17/18 ceil alt fund bradesco sent norte/sul cruz 509,2024-07-31,2025-07-30,APROVADO,FIXO,2,60,VÁLIDO,Via Urbana,7,2024
DF,DISTRITO FEDERAL,brasilia,via mn 1 av helio prates qnn 17/18 ceil alt fund bradesco sent norte/sul cz 509,2023-08-15,2024-08-14,APROVADO,FIXO,2,60,VÁLIDO,Via Urbana,8,2023
