uf,i1,i2,i3,i4,i5,i6,i7
DF,11.137280762280879,5.654311771619523,6.812033264580112,4.325247497700765,0.9991690901537184,22.05029013539652,113.18630637860238
CE,8.570568917283895,3.7129742844522404,3.53628792195072,5.034280995333176,0.9985083532219571,3.798092334048955,83.19131631796292
TO,7.695005065066624,3.48493900274466,4.047724183312121,3.6472808817545044,0.9888734353268428,3.9241769205187897,48.18315162097452
GO,7.090070896649378,4.118452290094929,2.9716186065544488,4.118452290094929,0.9948732554827684,10.25959221367657,54.06599013822732
MS,5.574824357459568,2.73913430143182,2.998310274294571,2.576514083164996,0.9954627949183303,6.772916373575577,41.41364637499054
PI,4.982919912494427,2.5994996126942014,1.067300848536914,3.915619063957512,0.9794079794079794,0.9113566194249153,8.08088685525601
PB,4.46500500306486,2.4197830043240987,3.0262151086018827,1.4387898944629778,0.9920739762219286,12.34441950622322,39.04312454695764
SE,4.347004347004347,2.069054700633648,1.024579971948393,3.322424375055954,0.9820224719101124,28.637086795121085,1.3392360702815957
SP,4.232102234308229,2.073234941762283,3.433449493325905,0.7986527409823236,0.9876962816939705,3.8676785138738317,1382.2847385539776
BR,4.1622262381011845,2.1070458671668986,2.5477009308041683,1.6145253072970156,0.9890933486678167,6.539501081246191,39.44343885362754
PA,4.0747171452353745,1.985757351127807,1.8718787933570369,2.202838351878338,0.9845227858985383,1.9183732195098557,25.77116576685962
SC,4.004933830110707,2.1344124094582257,2.843813479365432,1.1611203507452748,0.9873708381171068,16.485434956105347,38.81322077349506
BA,3.933566514661534,1.7682494756945482,1.790514946532255,2.1430515681292794,0.9920449227889565,7.1761468034603215,33.15952116338879
PR,3.9325608302343995,1.8497197478498644,3.1645676487066283,0.7679931815277705,0.9893121403124143,8.620325969259326,96.15234004988343
MG,3.801556598974202,1.871084228555908,1.896842940688991,1.9047136582852109,0.9925275546422567,6.6651796287102885,124.29459388935412
MT,3.679846308146516,1.8116709751239566,2.1436340777782488,1.5362122303682673,0.9765698219306467,4.625446699480817,7.088192406850814
RN,3.6647620544275483,1.5223802169146263,0.865546816874848,2.7992152375527004,0.995,21.196718199649887,38.20446607688749
RJ,3.427396321261282,1.9613786485373745,2.2360218224693984,1.1913744987918835,0.9967177242888403,16.102590258297205,44.3987395400375
ES,3.2104259886589,1.8557143979389146,0.4769546724724208,2.733471316186479,0.9581339712918661,19.406392694063925,32.71505491000065
AL,2.8880012546094473,1.2768907624237615,0,2.8880012546094473,0.9796511627906976,30.0833635375136,27.44704482242272
AP,2.7499128548743172,1.200666176071885,2.2851388512335875,0.46477400364072974,0.9726027397260274,0.9380863039399624,3.4061614794912902
RS,2.4953077626449782,1.7265027190913902,1.4918908513402955,1.0034169113046827,0.9687062120504437,5.1589558025329545,144.6176409534835
RR,2.317737611346536,1.176165355011675,1.8334342298711406,0.48430338147539564,0.9710144927536232,0.7030229988952496,0.9012599901807927
PE,2.2653736432221496,1.2224974926737282,1.2117738304572918,1.0535998127648578,0.9929494712103408,6.624942270635262,47.76091876228622
MA,2.1752272311759437,0.9652848858183636,1.316701964065602,0.8585252671103418,0.9898785425101214,2.791376792922786,14.710237272000501
RO,1.254384314406604,0.6191512321109519,0.4663736553563014,0.7880106590503024,0.9811320754716981,4.12215024817027,32.827199557362626
AC,1.2246897452645331,0.43544524276072283,1.0069671238841715,0.21772262138036141,1,0.23980384045850495,8.341766412010852
AM,0.36592536286905447,0.24117808007278588,0.14969673935552227,0.21622862351353217,0.8301886792452831,0.40147619709393,11.03064918497758
