uf,ano,i1,i2,i3,i4,i5,i6,i7
AC,2023,1.2847122101903374,0.456786563623231,1.0563189283787218,0.2283932818116155,1,0.23980384045850495,10.769815707142083
AL,2023,2.3649857918228103,1.0409589971729745,0,2.3649857918228103,0.9736842105263158,23.468648060891628,22.507137337328547
AM,2023,0.23007729712270641,0.15928428262341213,0,0.23007729712270641,0.8387096774193549,0.40147619709393,6.5936297154208905
AP,2023,2.926941881652609,1.1955114727876854,2.432247479119774,0.4946944025328353,1,0.9380863039399624,4.211556645200945
BA,2023,3.710681665892957,1.642464884745251,1.6756657207032406,2.0350159451897167,0.9958071278825996,6.600477884061857,31.84367602546682
CE,2023,7.9092637751456785,3.3725590903787226,3.433829911135998,4.47543386400968,1,3.6634082087280704,78.84933966543197
DF,2023,10.815709998795054,5.093416914656703,6.76401925801253,4.051690740782524,0.9964617425917736,19.148936170212767,114.56032609412887
ES,2023,2.753428952411499,1.5358109102819146,0.30122258185087275,2.452206370560626,0.9686567164179104,17.86529680365297,27.65501868144694
GO,2023,6.202731147991834,3.5985148986132707,2.4307428680227208,3.7719882799691136,0.9972789115646259,9.00419907360644,45.90908293548411
MA,2023,1.7772342390037736,0.7784192181388558,1.0410184724507592,0.7362157665530144,1,2.834321051275445,11.938695508674048
MG,2023,3.2755498451012057,1.5554411288897712,1.6600272992156928,1.6155225458855134,0.9934758155230596,5.658514978905078,103.58357028188485
MS,2023,4.874225959187467,2.38166403856289,2.682672575587468,2.1915533835999987,0.99140708915145,5.908716361516973,40.02139895854035
MT,2023,3.145928026508895,1.5803836548264028,1.7770041564832086,1.3689238700256867,0.9669327251995439,4.126491807700088,5.952496517040684
PA,2023,3.6542333913189116,1.750986833340312,1.5416297119626658,2.112603679356246,0.986639260020555,1.4844554674778645,22.631759743261664
PB,2023,4.178839261512514,2.3592245680611192,2.8360891084138986,1.3427501530986157,0.992548435171386,10.916139563354417,37.0074102975536
PE,2023,1.8719947898013274,1.0677096031651285,0.8939615837524304,0.9780332060488972,0.9970149253731343,6.433838166674629,40.08155885164216
PI,2023,3.2904312603386456,1.6417665407978985,0.9381523090273706,2.3522789513112747,1,0.9113566194249153,5.4091578301451015
PR,2023,3.6407657148029142,1.6144725528352264,3.024166176404037,0.6165995383988777,0.9981389578163772,6.440635063492286,89.62100026224377
RJ,2023,3.2083012979084264,1.8131055474021325,2.1077189756485777,1.1005823222598485,0.9979814291481631,12.568763889394877,43.12899769471925
RN,2023,3.172327523190808,1.2933830266964552,0.7914731954411144,2.380854327749694,1,16.767553202708118,32.55698871824826
RO,2023,0.9187944414606827,0.467749897470893,0.10023212088661994,0.8185623205740628,0.9734513274336283,4.12215024817027,24.122903689286876
RR,2023,2.357609456552885,1.1243983562021451,1.8498166505261096,0.5077928060267751,1,0.7030229988952496,0.89677427025113
RS,2023,2.455630849460046,1.6556623528633796,1.471149495289226,0.9844813541708203,0.9934869739478958,5.231325924011372,138.7797232576935
SC,2023,3.221634389735362,1.6835220833020297,2.3750263555220577,0.8466080342133049,0.996003996003996,10.923782920989625,31.697608735475683
SE,2023,2.9846887568666234,1.4923443784333117,1.071965680283083,1.9127230765835403,0.9759450171821306,12.37404984974368,0.8808419316788182
SP,2023,3.441849133672534,1.6305869247130598,2.7371854626682177,0.7046636710043165,0.9880901009752309,3.267016320431305,1168.547796896816
TO,2023,7.715123356250107,3.451803338648196,4.206170955703762,3.5089524005463453,0.9926470588235294,3.7578982374459593,46.69765080041311
BR,2023,3.621978413951387,1.791698380854704,2.2098060687378935,1.4121723452134936,0.9924618496047067,5.543136064215194,34.40275284299871
AC,2024,1.2246897452645331,0.43544524276072283,1.0069671238841715,0.21772262138036141,1,0.23980384045850495,8.341766412010852
AL,2024,2.8880012546094473,1.2768907624237615,0,2.8880012546094473,0.9796511627906976,30.0833635375136,27.44704482242272
AM,2024,0.36592536286905447,0.24117808007278588,0.14969673935552227,0.21622862351353217,0.8301886792452831,0.40147619709393,11.03064918497758
AP,2024,2.7499128548743172,1.200666176071885,2.2851388512335875,0.46477400364072974,0.9726027397260274,0.9380863039399624,3.4061614794912902
BA,2024,3.933566514661534,1.7682494756945482,1.790514946532255,2.1430515681292794,0.9920449227889565,7.1761468034603215,33.15952116338879
CE,2024,8.570568917283895,3.7129742844522404,3.53628792195072,5.034280995333176,0.9985083532219571,3.798092334048955,83.19131631796292
DF,2024,11.137280762280879,5.654311771619523,6.812033264580112,4.325247497700765,0.9991690901537184,22.05029013539652,113.18630637860238
ES,2024,3.2104259886589,1.8557143979389146,0.4769546724724208,2.733471316186479,0.9581339712918661,19.406392694063925,32.71505491000065
GO,2024,7.090070896649378,4.118452290094929,2.9716186065544488,4.118452290094929,0.9948732554827684,10.25959221367657,54.06599013822732
MA,2024,2.1752272311759437,0.9652848858183636,1.316701964065602,0.8585252671103418,0.9898785425101214,2.791376792922786,14.710237272000501
MG,2024,3.801556598974202,1.871084228555908,1.896842940688991,1.9047136582852109,0.9925275546422567,6.6651796287102885,124.29459388935412
MS,2024,5.574824357459568,2.73913430143182,2.998310274294571,2.576514083164996,0.9954627949183303,6.772916373575577,41.41364637499054
MT,2024,3.679846308146516,1.8116709751239566,2.1436340777782488,1.5362122303682673,0.9765698219306467,4.625446699480817,7.088192406850814
PA,2024,4.0747171452353745,1.985757351127807,1.8718787933570369,2.202838351878338,0.9845227858985383,1.9183732195098557,25.77116576685962
PB,2024,4.46500500306486,2.4197830043240987,3.0262151086018827,1.4387898944629778,0.9920739762219286,12.34441950622322,39.04312454695764
PE,2024,2.2653736432221496,1.2224974926737282,1.2117738304572918,1.0535998127648578,0.9929494712103408,6.624942270635262,47.76091876228622
PI,2024,4.982919912494427,2.5994996126942014,1.067300848536914,3.915619063957512,0.9794079794079794,0.9113566194249153,8.08088685525601
PR,2024,3.9325608302343995,1.8497197478498644,3.1645676487066283,0.7679931815277705,0.9893121403124143,8.620325969259326,96.15234004988343
